date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:03:24	59328/59328	---MCZ	200	added ('OK')	text/html	date:Wed,%2013%20Mar%202019%2014:02:18%20GMT	http://www.cbi.org.uk/about/slavery-statement/	C:/My%20Web%20Sites/CGTest/www.cbi.org.uk/about/slavery-statement/index.html	(from http://www.cbi.org.uk/)
15:03:25	71476/71476	---MCZ	200	added ('OK')	text/html	date:Wed,%2013%20Mar%202019%2014:02:18%20GMT	http://www.cbi.org.uk/site-map/	C:/My%20Web%20Sites/CGTest/www.cbi.org.uk/site-map/index.html	(from http://www.cbi.org.uk/)
15:03:28	20127/20127	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225c659897-4e9f%22	http://www.cbi.org.uk/cbi-prod/includes/themes/mura-cbi-theme/css/fonts/glyphicons-halflings-regular.eot?	C:/My%20Web%20Sites/CGTest/www.cbi.org.uk/cbi-prod/includes/themes/mura-cbi-theme/css/fonts/glyphicons-halflings-regulard41d.eot	(from http://www.cbi.org.uk/cbi-prod/includes/themes/mura-cbi-theme/css/bootstrap/bootstrap.min.css)
15:03:29	202148/202148	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%225c659897-315a4%22	http://www.cbi.org.uk/cbi-prod/includes/themes/mura-cbi-theme/assets/font-awesome/fonts/fontawesome-webfont.svg?v=4.0.3	C:/My%20Web%20Sites/CGTest/www.cbi.org.uk/cbi-prod/includes/themes/mura-cbi-theme/assets/font-awesome/fonts/fontawesome-webfontba72.svg	(from http://www.cbi.org.uk/cbi-prod/includes/themes/mura-cbi-theme/compiled/theme.min.css?_=140220191634)
15:03:30	632/632	---M--	200	added ('OK')	image/gif	etag:%225c659897-278%22	http://www.cbi.org.uk/cbi-prod/includes/themes/mura-cbi-theme/css/images/file-icons/ai.gif?20190214043431	C:/My%20Web%20Sites/CGTest/www.cbi.org.uk/cbi-prod/includes/themes/mura-cbi-theme/css/images/file-icons/ai5689.gif	(from http://www.cbi.org.uk/cbi-prod/includes/themes/mura-cbi-theme/compiled/theme.min.css?_=140220191634)
15:03:30	618/618	---M--	200	added ('OK')	image/gif	etag:%225c659897-26a%22	http://www.cbi.org.uk/cbi-prod/includes/themes/mura-cbi-theme/css/images/file-icons/css.gif?20190214043431	C:/My%20Web%20Sites/CGTest/www.cbi.org.uk/cbi-prod/includes/themes/mura-cbi-theme/css/images/file-icons/css5689.gif	(from http://www.cbi.org.uk/cbi-prod/includes/themes/mura-cbi-theme/compiled/theme.min.css?_=140220191634)
15:03:31	625/625	---M--	200	added ('OK')	image/gif	etag:%225c659897-271%22	http://www.cbi.org.uk/cbi-prod/includes/themes/mura-cbi-theme/css/images/file-icons/doc.gif?20190214043431	C:/My%20Web%20Sites/CGTest/www.cbi.org.uk/cbi-prod/includes/themes/mura-cbi-theme/css/images/file-icons/doc5689.gif	(from http://www.cbi.org.uk/cbi-prod/includes/themes/mura-cbi-theme/compiled/theme.min.css?_=140220191634)
15:03:31	247/247	---M--	200	added ('OK')	image/gif	etag:%225c659897-f7%22	http://www.cbi.org.uk/cbi-prod/includes/themes/mura-cbi-theme/css/images/file-icons/generic.gif?20190214043431	C:/My%20Web%20Sites/CGTest/www.cbi.org.uk/cbi-prod/includes/themes/mura-cbi-theme/css/images/file-icons/generic5689.gif	(from http://www.cbi.org.uk/cbi-prod/includes/themes/mura-cbi-theme/compiled/theme.min.css?_=140220191634)
15:03:31	392/392	---M--	200	added ('OK')	image/gif	etag:%225c659897-188%22	http://www.cbi.org.uk/cbi-prod/includes/themes/mura-cbi-theme/css/images/file-icons/gif.gif?20190214043431	C:/My%20Web%20Sites/CGTest/www.cbi.org.uk/cbi-prod/includes/themes/mura-cbi-theme/css/images/file-icons/gif5689.gif	(from http://www.cbi.org.uk/cbi-prod/includes/themes/mura-cbi-theme/compiled/theme.min.css?_=140220191634)
15:03:31	255/255	---M--	200	added ('OK')	image/gif	etag:%225c659897-ff%22	http://www.cbi.org.uk/cbi-prod/includes/themes/mura-cbi-theme/css/images/file-icons/graffle.gif?20190214043431	C:/My%20Web%20Sites/CGTest/www.cbi.org.uk/cbi-prod/includes/themes/mura-cbi-theme/css/images/file-icons/graffle5689.gif	(from http://www.cbi.org.uk/cbi-prod/includes/themes/mura-cbi-theme/compiled/theme.min.css?_=140220191634)
15:03:32	392/392	---M--	200	added ('OK')	image/gif	etag:%225c659897-188%22	http://www.cbi.org.uk/cbi-prod/includes/themes/mura-cbi-theme/css/images/file-icons/jpg.gif?20190214043431	C:/My%20Web%20Sites/CGTest/www.cbi.org.uk/cbi-prod/includes/themes/mura-cbi-theme/css/images/file-icons/jpg5689.gif	(from http://www.cbi.org.uk/cbi-prod/includes/themes/mura-cbi-theme/compiled/theme.min.css?_=140220191634)
15:03:32	38205/38205	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225c659897-953d%22	http://www.cbi.org.uk/cbi-prod/includes/themes/mura-cbi-theme/assets/font-awesome/fonts/fontawesome-webfont.eot?	C:/My%20Web%20Sites/CGTest/www.cbi.org.uk/cbi-prod/includes/themes/mura-cbi-theme/assets/font-awesome/fonts/fontawesome-webfontd41d.eot	(from http://www.cbi.org.uk/cbi-prod/includes/themes/mura-cbi-theme/compiled/theme.min.css?_=140220191634)
15:03:32	626/626	---M--	200	added ('OK')	image/gif	etag:%225c659897-272%22	http://www.cbi.org.uk/cbi-prod/includes/themes/mura-cbi-theme/css/images/file-icons/mdb.gif?20190214043431	C:/My%20Web%20Sites/CGTest/www.cbi.org.uk/cbi-prod/includes/themes/mura-cbi-theme/css/images/file-icons/mdb5689.gif	(from http://www.cbi.org.uk/cbi-prod/includes/themes/mura-cbi-theme/compiled/theme.min.css?_=140220191634)
15:03:33	633/633	---M--	200	added ('OK')	image/gif	etag:%225c659897-279%22	http://www.cbi.org.uk/cbi-prod/includes/themes/mura-cbi-theme/css/images/file-icons/mpp.gif?20190214043431	C:/My%20Web%20Sites/CGTest/www.cbi.org.uk/cbi-prod/includes/themes/mura-cbi-theme/css/images/file-icons/mpp5689.gif	(from http://www.cbi.org.uk/cbi-prod/includes/themes/mura-cbi-theme/compiled/theme.min.css?_=140220191634)
15:03:33	44432/44432	---M--	200	added ('OK')	application/font-woff	etag:%225c659897-ad90%22	http://www.cbi.org.uk/cbi-prod/includes/themes/mura-cbi-theme/assets/font-awesome/fonts/fontawesome-webfont.woff?v=4.0.3	C:/My%20Web%20Sites/CGTest/www.cbi.org.uk/cbi-prod/includes/themes/mura-cbi-theme/assets/font-awesome/fonts/fontawesome-webfontba72.woff	(from http://www.cbi.org.uk/cbi-prod/includes/themes/mura-cbi-theme/compiled/theme.min.css?_=140220191634)
15:03:33	625/625	---M--	200	added ('OK')	image/gif	etag:%225c659897-271%22	http://www.cbi.org.uk/cbi-prod/includes/themes/mura-cbi-theme/css/images/file-icons/ndd.gif?20190214043431	C:/My%20Web%20Sites/CGTest/www.cbi.org.uk/cbi-prod/includes/themes/mura-cbi-theme/css/images/file-icons/ndd5689.gif	(from http://www.cbi.org.uk/cbi-prod/includes/themes/mura-cbi-theme/compiled/theme.min.css?_=140220191634)
